Q1,FX135A-327.,2058137,1
R1,RR1220P-202-D,9370722,1
R2,ERJ6ENF1334V,2303894,1
R3,MCSR08X2703FTL,2074426,1
R4,MC0805S8F4700T5E,1632491,1
R5..12,RC0603FR-0712RL,9238255,8
C1,C0805C100J5GACTU,1414654,1
C2..3,0805F475Z100CT,2524922,2
C4,0805N3R3C500CT,2524925,1
C5,TPSB686K006R0350,1658556,1
L1,ME3220-222MLB,2287940,1
D1..48,5988091107F,1850741,48
Dstat,KPT-1608EC,2099221,1
T1..4,2N7002BKV,1859844,4
T5..7,PMDT670UPE,2069555,3
U1,MCP73831T-2ACI/OT,1332158,1
U2,RT8059GJ5,2362979,1
IC1,ATMEGA88PA-AUR,2425132,1
BATT1,56455 201 012,2531266,1
J1,USB3100-30-A.,2147517,1
S1..3,MC32840,2543097,3
